"SPP","logSL","logMass","LogGape","logProtrusion","logAdductor_mandibulae","logSternohyoides","logLevator_posterior","logJaw_closing_lever_ratio","log_Jaw_opening_lever_ratio","logJaw_KT","logHyoid_KT"
"Cirrhilabrus_cyanopleuraQF180",1.821513528,0.857332496,0.527629901,0.431363764,-2.15490196,-1.443697499,-2.920818754,-0.677780705,-0.698970004,0.120573931,0.340444115
"Cirrhilabrus_exquisitusF593KC18",1.821513528,0.819543936,0.559906625,0.409933123,-2.301029996,-1.698970004,-3.096910013,-0.721246399,-0.721246399,0.181843588,0.298853076
"Cirrhilabrus_scottorumF628KB9",1.989894564,1.404833717,0.653212514,0.426511261,-1.494850022,-1.096910013,-2.292429824,-0.602059991,-0.795880017,0.170261715,0.089905111
