"SPP","logAR"
"Bolbometopon_muricatum_F337",0.450249108
"Calotomus_carolinusF317",0.45331834
"Calotomus_spinidensPFC2118",0.511883361
"Cetoscarus_bicolorPFC113",0.459392488
"Chlorurus_bleekeriF123",0.553883027
"Chlorurus_microrhinosF307",0.519827994
"Cryptotomus_roseusF126",0.482873584
"Scarus_altipinnisF129",0.586587305
"Scarus_chameleonF130",0.51851394
"Scarus_flavipectoralisPFC228",0.549003262
"Scarus_frenatusF288",0.484299839
"Scarus_ghobbanF204",0.515873844
"Scarus_globicepsF569S448",0.563481085
"Scarus_guacamaiaF224",0.408239965
"Scarus_nigerF248",0.472756449
"Scarus_ovicepsRNF166",0.552668216
"Scarus_psittacusF137",0.531478917
"Scarus_rivulatusF250",0.507855872
"Scarus_schlegeliPFC371",0.540329475
"Scarus_spinusF305",0.531478917
"Scarus_taeniopterusPFC754",0.45331834
"Sparisoma_atomariumF139",0.394451681
"Sparisoma_aurofrenatumF140",0.485721426
"Sparisoma_chrysopterumF141",0.45331834
"Sparisoma_radiansF142",0.397940009
"Sparisoma_virideF143",0.462397998
