"species_dir","species","gestalt_k","bg_class_id"
"Amphichaetodon_howensis","Amphichaetodon howensis",3,3
"Amphichaetodon_melbae","Amphichaetodon melbae",4,3
"Chaetodon_adiergastos","Chaetodon adiergastos",4,4
"Chaetodon_andamanensis","Chaetodon andamanensis",2,3
"Chaetodon_argentatus","Chaetodon argentatus",2,2
"Chaetodon_assarius","Chaetodon assarius",3,2
"Chaetodon_aureofasciatus","Chaetodon aureofasciatus",3,3
"Chaetodon_auriga","Chaetodon auriga",3,2
"Chaetodon_auripes","Chaetodon auripes",3,4
"Chaetodon_austriacus","Chaetodon austriacus",3,2
"Chaetodon_baronessa","Chaetodon baronessa",3,4
"Chaetodon_bennetti","Chaetodon bennetti",3,1
"Chaetodon_blackburnii","Chaetodon blackburnii",3,4
"Chaetodon_burgessi","Chaetodon burgessi",2,2
"Chaetodon_capistratus","Chaetodon capistratus",4,1
"Chaetodon_citrinellus","Chaetodon citrinellus",3,3
"Chaetodon_collare","Chaetodon collare",4,2
"Chaetodon_daedalma","Chaetodon daedalma",3,2
"Chaetodon_declivis","Chaetodon declivis",4,1
"Chaetodon_decussatus","Chaetodon decussatus",4,3
"Chaetodon_dialeucos","Chaetodon dialeucos",3,4
"Chaetodon_dolosus","Chaetodon dolosus",4,2
"Chaetodon_ephippium","Chaetodon ephippium",5,5
"Chaetodon_excelsa","Chaetodon excelsa",3,2
"Chaetodon_falcula","Chaetodon falcula",4,4
"Chaetodon_fasciatus","Chaetodon fasciatus",3,2
"Chaetodon_flavirostris","Chaetodon flavirostris",3,1
"Chaetodon_flavocoronatus","Chaetodon flavocoronatus",4,2
"Chaetodon_fremblii","Chaetodon fremblii",4,1
"Chaetodon_gardineri","Chaetodon gardineri",3,2
"Chaetodon_guentheri","Chaetodon guentheri",4,5
"Chaetodon_guttatissimus","Chaetodon guttatissimus",4,5
"Chaetodon_hoefleri","Chaetodon hoefleri",4,3
"Chaetodon_humeralis","Chaetodon humeralis",3,3
"Chaetodon_interruptus","Chaetodon interruptus",3,4
"Chaetodon_kleinii","Chaetodon kleinii",4,2
"Chaetodon_larvatus","Chaetodon larvatus",4,3
"Chaetodon_leucopleura","Chaetodon leucopleura",4,5
"Chaetodon_lineolatus","Chaetodon lineolatus",4,3
"Chaetodon_litus","Chaetodon litus",2,3
"Chaetodon_lunula","Chaetodon lunula",4,5
"Chaetodon_lunulatus","Chaetodon lunulatus",3,1
"Chaetodon_madagaskariensis","Chaetodon madagaskariensis",4,5
"Chaetodon_marleyi","Chaetodon marleyi",3,2
"Chaetodon_melannotus","Chaetodon melannotus",4,3
"Chaetodon_melapterus","Chaetodon melapterus",3,4
"Chaetodon_mertensii","Chaetodon mertensii",4,5
"Chaetodon_mesoleucos","Chaetodon mesoleucos",4,5
"Chaetodon_meyeri","Chaetodon meyeri",3,4
"Chaetodon_miliaris","Chaetodon miliaris",4,2
"Chaetodon_mitratus","Chaetodon mitratus",2,2
"Chaetodon_modestus","Chaetodon modestus",3,4
"Chaetodon_multicinctus","Chaetodon multicinctus",4,5
"Chaetodon_nigropunctatus","Chaetodon nigropunctatus",3,4
"Chaetodon_nippon","Chaetodon nippon",4,4
"Chaetodon_ocellatus","Chaetodon ocellatus",3,1
"Chaetodon_ocellicaudus","Chaetodon ocellicaudus",4,5
"Chaetodon_octofasciatus","Chaetodon octofasciatus",3,3
"Chaetodon_ornatissimus","Chaetodon ornatissimus",4,3
"Chaetodon_oxycephalus","Chaetodon oxycephalus",4,4
"Chaetodon_paucifasciatus","Chaetodon paucifasciatus",4,4
"Chaetodon_pelewensis","Chaetodon pelewensis",3,4
"Chaetodon_pictus","Chaetodon pictus",4,5
"Chaetodon_plebeius","Chaetodon plebeius",3,3
"Chaetodon_punctatofasciatus","Chaetodon punctatofasciatus",4,2
"Chaetodon_quadrimaculatus","Chaetodon quadrimaculatus",3,2
"Chaetodon_rafflesii","Chaetodon rafflesii",3,4
"Chaetodon_rainfordi","Chaetodon rainfordi",3,3
"Chaetodon_reticulatus","Chaetodon reticulatus",4,2
"Chaetodon_robustus","Chaetodon robustus",4,4
"Chaetodon_sanctaehelenae","Chaetodon sanctaehelenae",3,3
"Chaetodon_sedentarius","Chaetodon sedentarius",4,1
"Chaetodon_selene","Chaetodon selene",4,3
"Chaetodon_semeion","Chaetodon semeion",4,4
"Chaetodon_semilarvatus","Chaetodon semilarvatus",3,1
"Chaetodon_smithi","Chaetodon smithi",2,1
"Chaetodon_speculum","Chaetodon speculum",3,4
"Chaetodon_striatus","Chaetodon striatus",2,2
"Chaetodon_tinkeri","Chaetodon tinkeri",3,2
"Chaetodon_triangulum","Chaetodon triangulum",4,2
"Chaetodon_trichrous","Chaetodon trichrous",4,5
"Chaetodon_tricinctus","Chaetodon tricinctus",3,4
"Chaetodon_trifascialis","Chaetodon trifascialis",4,1
"Chaetodon_trifasciatus","Chaetodon trifasciatus",4,2
"Chaetodon_ulietensis","Chaetodon ulietensis",4,4
"Chaetodon_unimaculatus","Chaetodon unimaculatus",3,4
"Chaetodon_vagabundus","Chaetodon vagabundus",4,1
"Chaetodon_wiebeli","Chaetodon wiebeli",4,5
"Chaetodon_xanthocephalus","Chaetodon xanthocephalus",4,1
"Chaetodon_xanthurus","Chaetodon xanthurus",4,3
"Chaetodon_zanzibarensis","Chaetodon zanzibarensis",3,3
"Chaetodon_zanzibariensis","Chaetodon zanzibariensis",3,2
"Chelmon_marginalis","Chelmon marginalis",3,1
"Chelmon_muelleri","Chelmon muelleri",3,4
"Chelmon_rostratus","Chelmon rostratus",3,2
"Chelmonops_curiosus","Chelmonops curiosus",3,2
"Chelmonops_truncatus","Chelmonops truncatus",3,4
"Coradion_altivelis","Coradion altivelis",3,2
"Coradion_chrysozonus","Coradion chrysozonus",3,2
"Coradion_melanopus","Coradion melanopus",3,2
"Forcipiger_flavissimus","Forcipiger flavissimus",3,1
"Forcipiger_longirostris","Forcipiger longirostris",3,2
"Forcipiger_wanai","Forcipiger wanai",3,4
"Hemitaurichthys_multispinosus","Hemitaurichthys multispinosus",2,1
"Hemitaurichthys_polylepis","Hemitaurichthys polylepis",3,4
"Hemitaurichthys_thompsoni","Hemitaurichthys thompsoni",2,3
"Hemitaurichthys_zoster","Hemitaurichthys zoster",3,4
"Heniochus_acuminatus","Heniochus acuminatus",3,3
"Heniochus_chrysostomus","Heniochus chrysostomus",3,3
"Heniochus_diphreutes","Heniochus diphreutes",3,1
"Heniochus_intermedius","Heniochus intermedius",3,3
"Heniochus_monoceros","Heniochus monoceros",3,3
"Heniochus_pleurotaenia","Heniochus pleurotaenia",3,2
"Heniochus_singularius","Heniochus singularius",3,1
"Heniochus_varius","Heniochus varius",4,1
"Johnrandallia_nigrirostris","Johnrandallia nigrirostris",3,3
"Parachaetodon_ocellatus","Parachaetodon ocellatus",3,3
"Prognathodes_aculeatus","Prognathodes aculeatus",3,4
"Prognathodes_aya","Prognathodes aya",3,4
"Prognathodes_brasiliensis","Prognathodes brasiliensis",3,3
"Prognathodes_carlhubbsi","Prognathodes carlhubbsi",4,5
"Prognathodes_dichrous","Prognathodes dichrous",2,2
"Prognathodes_falcifer","Prognathodes falcifer",4,5
"Prognathodes_guyanensis","Prognathodes guyanensis",3,3
"Prognathodes_marcellae","Prognathodes marcellae",3,3
"Prognathodes_obliquus","Prognathodes obliquus",3,4
"Roa_australis","Roa australis",3,4
"Roa_excelsa","Roa excelsa",3,1
"Roa_jayakari","Roa jayakari",3,4
"Roa_modesta","Roa modesta",3,2
