"species","gestalt_k","bg_pct","bg_class_id","m","m_r","m_c","A","Sc","St","Jc","Jt","m_dS","s_dS","cv_dS","m_dL","s_dL","cv_dL"
"Amphichaetodon howensis",3,84.2603397341211,3,0.030334520809801,0.0423529411764706,0.0183161004431315,2.3123339658444,2.39024308466052,2.97380784195006,0.79674769488684,0.99126928065002,0.105196697556575,0.042915864441086,0.40795828612401,1.15039597669388,0.501724417005317,0.436131929500676
"Amphichaetodon melbae",4,80.008407079646,3,0.0570117163155927,0.0722535211267606,0.0417699115044248,1.7297982812127,3.93527199125548,4.76877227838485,0.983817997813871,0.794795379730809,0.108519341219102,0.0711229151564757,0.655393908196305,0.823618620085,0.450905274430007,0.547468529042571
"Chaetodon adiergastos",4,80.984811452514,4,0.042739913097455,0.0391111111111111,0.0463687150837989,0.843480589022758,3.40215600715377,2.2207713766926,0.850539001788442,0.3701285627821,0.216888189842439,0.382281961790311,1.76257620144289,0.652600784893211,0.306470278988563,0.469613714973869
"Chaetodon andamanensis",2,78.8346875,3,0.01875,0.019,0.0185,1.02702702702703,1.94113639301372,1,0.970568196506858,1,0.457567788898036,NA,NA,0.640771583763577,NA,NA
"Chaetodon argentatus",2,64.657974137931,2,0.054411431270666,0.0606849315068493,0.0481379310344828,1.26064685795031,1.97646918346032,1,0.988234591730161,1,0.126562033060823,NA,NA,1.61122826916486,NA,NA
"Chaetodon assarius",3,84.4288632986627,2,0.0218650467616467,0.0242352941176471,0.0194947994056464,1.24316714490674,2.42645417451924,2.33164151650373,0.80881805817308,0.777213838834577,0.0846943953377264,0.0292907326927912,0.345840271673136,0.727149754781312,0.304827402661977,0.419208561451902
"Chaetodon aureofasciatus",3,58.527489626556,3,0.110285668688158,0.105384615384615,0.115186721991701,0.91490246065174,2.90923316071996,2.16036613885321,0.969744386906653,0.720122046284404,0.119713329517307,0.165562971644086,1.382995296444,0.557763606896536,0.22876877864255,0.410153648990201
"Chaetodon auriga",3,86.8510911424904,2,0.0224592542475728,0.0232038834951456,0.021714625,1.06858320119024,2.70859527567481,2.36891522940667,0.902865091891603,0.789638409802224,0.389470835544774,0.269010010272448,0.690706429651322,0.993893973766692,0.498478259475104,0.501540680024404
"Chaetodon auripes",3,67.1978653530378,4,0.114529744360902,0.0910526315789474,0.138006857142857,0.659768894560758,2.86161488635555,2.01456883454019,0.953871628785183,0.671522944846731,0.302626846568129,0.0938378503831727,0.310077745736439,0.779400155088192,0.258878752918045,0.332151272010913
"Chaetodon austriacus",3,78.9448119777159,2,0.0350026307644692,0.0281111111111111,0.0418941504178273,0.671003250591017,2.58997755422946,2.53861750797246,0.86332585140982,0.84620583599082,0.805667880773147,0.35193146634027,0.43681953164441,0.946254580408444,0.575369897106579,0.608049788100603
"Chaetodon baronessa",3,85.7309818041726,4,0.056815786381347,0.0616304347826087,0.0520011379800853,1.18517473225703,2.90834084401378,2.43767492409219,0.969446948004592,0.812558308030729,0.0567601177622985,0.0273434598830491,0.481737194372266,0.809235815993155,0.324045149361146,0.400433523772614
"Chaetodon bennetti",3,89.6296153846154,1,0.0217448405253283,0.0219512195121951,0.0215384615384615,1.0191637630662,2.02179164177554,1.75027429412663,0.673930547258513,0.583424764708878,0.210573824564628,0.378863464283524,1.79919543688226,0.439507551974852,0.238612763047214,0.542909358383147
