"species","body_size_cm","trophic_level","depth_min_m","depth_max_m","source","vulnerability","dangerous","growth_K","aspect_ratio","schooling","lat_north","lat_south","lat_range","n_regions","region_list","ATL","RED","WIO","CIP","NWP","CPA","HAW","TEP","range_area_km2"
"Chaetodon_fremblii",13,2.96000003814697,5,65,"fishbase",10,"harmless",0.97000002861023,2.08563995361328,0,NA,NA,NA,1,"HAW",0,0,0,0,0,0,1,0,412972.3161105
"Chaetodon_gardineri",17,3.59,2,91,"fishbase",10,"harmless",0.759999990463257,3.19429993629456,0,NA,NA,NA,3,"RED+WIO+CIP",0,1,1,1,0,0,0,0,1049002.42316638
"Chaetodon_guentheri",18,2.82,2,25,"fishbase",10,"harmless",0.72000002861023,2.66634011268616,0,NA,NA,NA,2,"CIP+NWP",0,0,0,1,1,0,0,0,5134492.94962815
"Chaetodon_guttatissimus",12,3.07,3,30,"fishbase",10,"harmless",1.04999995231628,2.58974003791809,0,NA,-30,NA,2,"WIO+CIP",0,0,1,1,0,0,0,0,3789618.739327
"Chaetodon_hoefleri",27,3.5,10,150,"fishbase",17,"reports of ciguatera poisoning",0.490000009536743,1.85421001911163,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1074018.22226043
"Chaetodon_humeralis",25.3999996185303,2.72,3,50,"fishbase",15.4,"harmless",0.519999980926514,2.59404993057251,-1,40,-20,60,2,"TEP+ATL",1,0,0,0,0,0,0,1,1335026.34116644
"Chaetodon_interruptus",20,3.29,10,40,"xlsx-depth-only+simulated",10,"harmless",0.649999976158142,NA,NA,12,35,-23,2,"WIO+CIP",0,0,1,1,0,0,0,0,2941088.20552343
"Chaetodon_kleinii",15,3.18,1,90,"fishbase",10,"harmless",0.850000023841858,1.74100995063782,0,30,-32,62,3,"WIO+CIP+NWP",0,0,1,1,1,0,0,0,17407353.9011908
"Chaetodon_larvatus",12,3.38,3,12,"fishbase",13.29,"harmless",0.879999995231628,2.54645991325378,0,NA,NA,NA,1,"RED",0,1,0,0,0,0,0,0,691928.06325391
"Chaetodon_leucopleura",18,2.78,7,75,"fishbase",11.96,"harmless",0.600000023841858,2.43950009346008,0,NA,NA,NA,2,"RED+WIO",0,1,1,0,0,0,0,0,1075840.49245816
"Chaetodon_lineolatus",30,3.39,2,171,"fishbase",20,"harmless",0.449999988079071,1.98582994937897,0,30,-28,58,4,"RED+WIO+CIP+NWP",0,1,1,1,0,0,0,0,20244987.6033466
"Chaetodon_litus",15.5,3.54,1,25,"xlsx-depth-only+simulated",10,"harmless",0.740000009536743,2.81730008125305,NA,NA,NA,NA,1,"TEP",0,0,0,0,0,0,0,1,37801.7694973628
"Chaetodon_lunula",20,2.99,1,170,"fishbase",10,"harmless",0.649999976158142,2.42807006835938,0,30,-32,62,3,"WIO+CIP+NWP",0,0,1,1,1,0,0,0,20859601.1901547
"Chaetodon_lunulatus",26.7000007629395,3.34,1,60,"fishbase",16.7,"harmless",0.5,2.26638007164001,0,37,-32,69,2,"CIP+NWP",0,0,0,1,1,0,0,0,17226196.2904111
"Chaetodon_madagaskariensis",13,2.76,10,120,"fishbase",10,"harmless",0.97000002861023,3.10685992240906,0,NA,NA,NA,2,"WIO+CIP",0,0,1,1,0,0,0,0,2715480.75031101
"Chaetodon_marleyi",20,2.68,20,120,"fishbase",10,"harmless",0.649999976158142,2.05398011207581,0,-10,-36,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304807.734519488
"Chaetodon_melannotus",25,3.47,2,20,"fishbase",15,"harmless",0.52999997138977,1.53551995754242,0,36,-36,72,4,"RED+WIO+CIP+NWP",0,1,1,1,0,0,0,0,17495712.1959185
"Chaetodon_melapterus",13,3.34,3,20,"fishbase",10,"harmless",1.41999995708466,2.73614001274109,0,NA,NA,NA,2,"RED+WIO",0,1,1,0,0,0,0,0,1079018.76800015
"Chaetodon_mertensii",12.5,2.95,10,120,"fishbase",10,"harmless",1.00999999046326,2.70705008506775,0,30,-33,63,2,"CIP+NWP",0,0,0,1,1,0,0,0,8547367.7732763
"Chaetodon_mesoleucos",13,3.65,5,20,"xlsx-depth-only+simulated",10,"harmless",0.97000002861023,2.91761994361877,NA,NA,NA,NA,2,"RED+WIO",0,1,1,0,0,0,0,0,645949.165862497
"Chaetodon_meyeri",20,3.34,2,25,"fishbase",10,"harmless",0.649999976158142,1.95541000366211,0,30,-30,60,3,"WIO+CIP+NWP",0,0,1,1,1,0,0,0,13537201.8882655
"Chaetodon_miliaris",13,3.4,5,250,"fishbase",12.41,"harmless",1.12999999523163,2.14344000816345,0,NA,NA,NA,1,"HAW",0,0,0,0,0,0,1,0,445242.657500615
"Chaetodon_mitratus",14,3.5,22,80,"fishbase",10,"harmless",0.759999990463257,2.61666011810303,0,NA,NA,NA,2,"WIO+CIP",0,0,1,1,0,0,0,0,1043169.16900012
"Chaetodon_modestus",8.3,3.09,NA,NA,"missing+simulated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaetodon_multicinctus",12,3,5,114,"fishbase",10,"harmless",1.04999995231628,2.12309002876282,0,NA,NA,NA,1,"HAW",0,0,0,0,0,0,1,0,445242.657500615
"Chaetodon_nigropunctatus",14,3.93,3,15,"fishbase",10,"harmless",0.910000026226044,3.35805010795593,0,NA,NA,NA,2,"RED+WIO",0,1,1,0,0,0,0,0,369565.557669464
"Chaetodon_nippon",15,3.46,5,30,"fishbase",10,"harmless",0.850000023841858,2.15981006622314,0,45,5,40,1,"NWP",0,0,0,0,1,0,0,0,1063424.32767273
"Chaetodon_ocellatus",20,3.5,1,30,"fishbase",10,"harmless",0.649999976158142,2.55942988395691,0,45,8,37,2,"ATL+TEP",1,0,0,0,0,0,0,1,4196432.57736423
"Chaetodon_ocellicaudus",15,3.34,3,50,"fishbase",10,"harmless",0.850000023841858,2.58219003677368,0,19,-12,31,1,"CIP",0,0,0,1,0,0,0,0,5721112.6017144
"Chaetodon_octofasciatus",12,2.64,3,20,"fishbase",10,"harmless",1.04999995231628,1.50276005268097,0,31,-30,61,2,"CIP+NWP",0,0,0,1,1,0,0,0,8754620.07380711
"Chaetodon_ornatissimus",20,3.34,1,36,"fishbase",10,"harmless",0.649999976158142,2.32099008560181,0,30,-30,60,3,"CIP+NWP+HAW",0,0,0,1,1,0,1,0,16956755.9496446
"Chaetodon_oxycephalus",25,3.48,10,40,"fishbase",15,"harmless",0.52999997138977,2.38504004478455,0,20,-34,54,2,"WIO+CIP",0,0,1,1,0,0,0,0,6489758.15559326
"Chaetodon_paucifasciatus",14,3.17,4,65,"fishbase",11.74,"harmless",1.19000005722046,2.56910991668701,0,NA,NA,NA,1,"RED",0,1,0,0,0,0,0,0,590865.585992023
"Chaetodon_pelewensis",12.5,2.92,1,30,"fishbase",10,"harmless",1.00999999046326,2.20392990112305,0,8,32,-24,1,"CIP",0,0,0,1,0,0,0,0,6683897.8942032
"Chaetodon_pictus",15.3999996185303,3.48,1,30,"xlsx-depth-only+simulated",10,"harmless",0.819999992847443,NA,NA,NA,NA,NA,2,"RED+WIO",0,1,1,0,0,0,0,0,509802.320848905
"Chaetodon_plebeius",15,3.34,5,15,"fishbase",10,"harmless",0.850000023841858,2.87474989891052,0,45,-20,65,2,"CIP+NWP",0,0,0,1,1,0,0,0,5302248.83362348
"Chaetodon_punctatofasciatus",12,2.92,1,45,"fishbase",10,"harmless",1.04999995231628,1.76874995231628,0,30,-18,48,2,"CIP+NWP",0,0,0,1,1,0,0,0,8713458.11184581
"Chaetodon_quadrimaculatus",16,3.55,2,43,"fishbase",10,"harmless",0.800000011920929,2.99039006233215,0,30,-28,58,3,"CIP+NWP+HAW",0,0,0,1,1,0,1,0,6064032.63517498
"Chaetodon_rafflesii",18,3.4,1,15,"fishbase",10,"harmless",0.72000002861023,2.86037993431091,0,32,-31,63,2,"CIP+NWP",0,0,0,1,1,0,0,0,12334854.7968203
"Chaetodon_rainfordi",15,2.77,1,15,"fishbase",10,"harmless",0.850000023841858,2.88480997085571,0,-10,-33,23,1,"CIP",0,0,0,1,0,0,0,0,497358.68847413
"Chaetodon_reticulatus",18,2.63,1,40,"fishbase",10,"harmless",0.72000002861023,2.46440005302429,0,30,-30,60,3,"CIP+NWP+HAW",0,0,0,1,1,0,1,0,9970770.57406411
"Chaetodon_robustus",14.5,3.53,40,50,"xlsx-depth-only+simulated",10,"harmless",0.730000019073486,3.02152991294861,NA,18,0,18,1,"ATL",1,0,0,0,0,0,0,0,859221.709424065
"Chaetodon_sanctaehelenae",18,3.54,1,50,"xlsx-depth-only+simulated",10,"harmless",0.72000002861023,3.02117991447449,NA,NA,NA,NA,1,"ATL",1,0,0,0,0,0,0,0,119158.04128679
"Chaetodon_sedentarius",15,3.5,5,92,"fishbase",10,"reports of ciguatera poisoning",0.850000023841858,2.11001992225647,0,36,-25,61,2,"ATL+TEP",1,0,0,0,0,0,0,1,3923903.49156867
"Chaetodon_selene",16,2.72,3,50,"fishbase",10,"harmless",0.800000011920929,3.80012989044189,0,NA,NA,NA,2,"CIP+NWP",0,0,0,1,1,0,0,0,4590072.78032016
"Chaetodon_semeion",26,2.73,1,50,"fishbase",16,"harmless",0.509999990463257,2.50329995155334,0,30,-25,55,2,"CIP+NWP",0,0,0,1,1,0,0,0,12227123.1023633
"Chaetodon_semilarvatus",23,3.5,3,20,"fishbase",16.68,"harmless",0.819999992847443,2.79082989692688,0,NA,NA,NA,1,"RED",0,1,0,0,0,0,0,0,718566.945821536
"Chaetodon_smithi",19,3.4,1,80,"fishbase",10,"harmless",0.689999997615814,2.50552010536194,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126065.040885503
"Chaetodon_speculum",18,3.34,3,30,"fishbase",10,"harmless",0.72000002861023,2.41651010513306,0,36,-32,68,2,"CIP+NWP",0,0,0,1,1,0,0,0,12211091.824675
"Chaetodon_striatus",16,2.77,3,70,"fishbase",10,"harmless",0.800000011920929,2.55872988700867,0,41,-29,70,2,"ATL+TEP",1,0,0,0,0,0,0,1,3982241.3366272
"Chaetodon_tinkeri",15,3.41,27,180,"fishbase",10,"harmless",0.850000023841858,2.40342998504639,0,28,4,24,2,"HAW+CPA",0,0,0,0,0,1,1,0,387080.098719296
"Chaetodon_triangulum",16,3.34,1,25,"fishbase",10,"harmless",0.800000011920929,3.22089004516602,0,NA,NA,NA,2,"WIO+CIP",0,0,1,1,0,0,0,0,2089492.19739985
"Chaetodon_trichrous",12,3.05,1,25,"xlsx-depth-only+simulated",10,"harmless",1.04999995231628,2.42558002471924,NA,NA,NA,NA,1,"CPA",0,0,0,0,0,1,0,0,1213130.65039985
"Chaetodon_tricinctus",15,3.76,3,15,"xlsx-depth-only+simulated",10,"harmless",0.850000023841858,1.91743004322052,NA,-25,-33,8,1,"CIP",0,0,0,1,0,0,0,0,142920.942591157
"Chaetodon_trifascialis",18,3.34,1,30,"fishbase",10.89,"harmless",0.97000002861023,2.50241994857788,0,36,-30,66,4,"RED+WIO+CIP+NWP",0,1,1,1,0,0,0,0,20022286.4358079
"Chaetodon_trifasciatus",15,3.34,1,30,"fishbase",10,"harmless",1.63999998569489,2.5082700252533,0,30,-30,60,2,"WIO+CIP",0,0,1,1,0,0,0,0,4188547.54580225
"Chaetodon_ulietensis",15,2.71,1,40,"fishbase",10,"harmless",0.850000023841858,2.29172992706299,0,36,-32,68,2,"CIP+NWP",0,0,0,1,1,0,0,0,13194489.3661226
"Chaetodon_unimaculatus",20,3.21,1,61,"fishbase",10,"harmless",0.649999976158142,2.1993899345398,0,35,-35,70,3,"CIP+NWP+HAW",0,0,0,1,1,0,1,0,17729977.9002767
"Chaetodon_vagabundus",23,3.36,1,30,"fishbase",13,"harmless",0.569999992847443,2.88212990760803,0,36,-36,72,3,"WIO+CIP+NWP",0,0,1,1,1,0,0,0,20493440.0435068
"Chaetodon_wiebeli",19,2.72,5,25,"fishbase",10,"harmless",0.689999997615814,2.20794010162354,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3008979.1666732
"Chaetodon_xanthocephalus",20,2.7,1,30,"fishbase",10,"harmless",0.649999976158142,2.31030011177063,0,NA,-30,NA,2,"WIO+CIP",0,0,1,1,0,0,0,0,2623643.42408443
"Chaetodon_xanthurus",14,2.82,6,50,"fishbase",10,"harmless",0.759999990463257,3.76149010658264,0,NA,NA,NA,2,"CIP+NWP",0,0,0,1,1,0,0,0,5087418.1912196
"Chaetodon_zanzibarensis",12,3.34,3,40,"fishbase",10,"harmless",1.04999995231628,2.65600991249084,0,NA,-30,NA,3,"RED+WIO+CIP",0,1,1,1,0,0,0,0,1900839.31610752
"Chaetodon_zanzibariensis",10.7,3.68,NA,NA,"missing+simulated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chelmon_marginalis",18,3.57,1,30,"xlsx-depth-only+simulated",10,"harmless",0.72000002861023,2.64127993583679,0,-10,-30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1310128.28668421
"Chelmon_muelleri",20.5,3.5,1,10,"fishbase",10.5,"harmless",0.639999985694885,2.4828999042511,0,-10,-30,20,1,"CIP",0,0,0,1,0,0,0,0,1283907.01570837
"Chelmon_rostratus",20,3.5,1,25,"fishbase",10,"harmless",0.649999976158142,2.67245006561279,0,NA,NA,NA,2,"CIP+NWP",0,0,0,1,1,0,0,0,9423993.70315153
"Chelmonops_curiosus",26,3.29,51,57,"fishbase",16,"harmless",0.509999990463257,NA,0,-26,NA,NA,1,"CIP",0,0,0,1,0,0,0,0,582007.113462452
"Chelmonops_truncatus",22,2.79,3,70,"fishbase",12,"harmless",0.600000023841858,2.27269005775452,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125595.997740674
"Coradion_altivelis",18,2.68,3,30,"fishbase",10,"harmless",0.72000002861023,2.18204998970032,0,NA,NA,NA,2,"CIP+NWP",0,0,0,1,1,0,0,0,10410033.1084116
"Coradion_chrysozonus",15,2.81,3,60,"fishbase",10,"harmless",0.850000023841858,2.31079006195068,0,28,-24,52,2,"CIP+NWP",0,0,0,1,1,0,0,0,10178162.0645821
"Coradion_melanopus",15,3.39,10,30,"xlsx-depth-only+simulated",10,"harmless",0.850000023841858,2.14989995956421,NA,NA,NA,NA,1,"CIP",0,0,0,1,0,0,0,0,3848939.14622226
"Forcipiger_flavissimus",22,3.38000011444092,3,114,"fishbase",12,"harmless",0.600000023841858,1.97207999229431,0,36,-32,68,5,"WIO+CIP+NWP+HAW+TEP",0,0,1,1,1,0,0,0,20570292.9045831
"Forcipiger_longirostris",22,3.5,1,200,"fishbase",12,"harmless",0.600000023841858,2.36339998245239,0,28,-28,56,4,"WIO+CIP+NWP+HAW",0,0,1,1,1,0,0,0,16127053.4662172
"Forcipiger_wanai",17,3.34,NA,NA,"missing+simulated",10,"harmless",0.759999990463257,NA,NA,NA,NA,NA,1,"CIP",0,0,0,1,0,0,0,0,NA
"Hemitaurichthys_multispinosus",20.7999992370605,3.4,5,45,"fishbase",10,"harmless",0.72000002861023,2.17367005348206,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89412.0671483172
"Hemitaurichthys_polylepis",18,3.4,3,60,"fishbase",10,"harmless",0.72000002861023,1.88501000404358,0,35,-25,60,2,"CIP+NWP",0,0,0,1,1,0,0,0,13490493.4743152
"Hemitaurichthys_thompsoni",18,3.4,4,300,"fishbase",10,"harmless",0.72000002861023,2.5706000328064,0,31,-24,55,3,"CIP+NWP+HAW",0,0,0,1,1,0,1,0,2539241.01185657
"Hemitaurichthys_zoster",18,2.85,1,40,"fishbase",10,"harmless",0.72000002861023,2.18881011009216,0,NA,-28,NA,2,"WIO+CIP",0,0,1,1,0,0,0,0,3368452.5634248
"Heniochus_acuminatus",25,3.75,2,178,"fishbase",15,"harmless",0.52999997138977,1.90499997138977,-1,30,-35,65,3,"WIO+CIP+NWP",0,0,1,1,1,0,0,0,21795641.4479774
"Heniochus_chrysostomus",18,3.34,2,60,"fishbase",10,"harmless",0.72000002861023,2.0353798866272,0,32,-28,60,2,"CIP+NWP",0,0,0,1,1,0,0,0,13866396.9300942
"Heniochus_diphreutes",21,3.3,5,210,"fishbase",11,"harmless",0.620000004768372,2.245609998703,0,30,-30,60,5,"RED+WIO+CIP+NWP+HAW",0,1,1,1,0,0,0,0,7486840.46525757
"Heniochus_intermedius",18,3.45,3,50,"fishbase",10,"harmless",0.72000002861023,2.56835007667542,0,NA,NA,NA,2,"RED+WIO",0,1,1,0,0,0,0,0,614772.582328084
"Heniochus_monoceros",24,3.5,2,30,"fishbase",14,"harmless",0.550000011920929,2.41741991043091,0,32,-32,64,3,"WIO+CIP+NWP",0,0,1,1,1,0,0,0,15452546.16878
"Heniochus_pleurotaenia",17,3.5,1,25,"fishbase",10,"harmless",0.759999990463257,1.89809000492096,0,NA,NA,NA,2,"WIO+CIP",0,0,1,1,0,0,0,0,1630927.28001458
"Heniochus_singularius",30,3.55,2,250,"fishbase",20,"harmless",0.449999988079071,2.31796002388,0,32,-23,55,3,"WIO+CIP+NWP",0,0,1,1,1,0,0,0,12476141.5084745
"Heniochus_varius",19,3.5,1,30,"fishbase",10,"harmless",0.689999997615814,1.95473003387451,0,35,-29,64,2,"CIP+NWP",0,0,0,1,1,0,0,0,12340439.3197494
"Johnrandallia_nigrirostris",20,2.97,6,40,"fishbase",10,"harmless",0.649999976158142,2.59067010879517,0,40,-10,50,1,"TEP",0,0,0,0,0,0,0,1,1025702.12661729
"Parachaetodon_ocellatus",18,2.76,5,40,"fishbase",10,"harmless",0.72000002861023,2.1931300163269,0,NA,NA,NA,2,"CIP+NWP",0,0,0,1,1,0,0,0,9093245.37419076
"Prognathodes_aculeatus",10,3.5,1,100,"fishbase",10,"harmless",1.24000000953674,2.04550004005432,0,33,9,24,2,"ATL+TEP",1,0,0,0,0,0,0,1,2592458.80446555
"Prognathodes_aya",15,3.66,20,170,"xlsx-depth-only+simulated",10,"harmless",0.850000023841858,1.94808995723724,NA,36,20,16,2,"ATL+TEP",1,0,0,0,0,0,0,1,827961.734542235
"Prognathodes_brasiliensis",15.2,3.34,20,150,"xlsx-depth-only+simulated",10,"harmless",0.959999978542328,2.56527996063232,0,NA,NA,NA,1,"ATL",1,0,0,0,0,0,0,0,395746.630897837
"Prognathodes_carlhubbsi",12.1000003814697,2.87,10,35,"xlsx-depth-only+simulated",10,"harmless",0.870000004768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97464.9691380897
"Prognathodes_dichrous",16,3.5,3,120,"fishbase",10,"harmless",0.800000011920929,2.94764995574951,0,NA,NA,NA,1,"ATL",1,0,0,0,0,0,0,0,69834.2546311648
"Prognathodes_falcifer",15,3.31,3,270,"fishbase",10,"harmless",0.850000023841858,2.73614001274109,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341641.880367722
"Prognathodes_guyanensis",13.6000003814697,2.85,60,230,"fishbase",10,"harmless",0.930000007152557,3.08663010597229,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2527408.91499445
"Prognathodes_marcellae",11.6000003814697,3.49,12,140,"xlsx-depth-only+simulated",10,"harmless",1.08000004291534,2.45969009399414,NA,17,-17,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,842013.284963988
"Prognathodes_obliquus",15,3.31,40,100,"xlsx-depth-only+simulated",10,"harmless",0.850000023841858,2.75125002861023,NA,NA,NA,NA,1,"ATL",1,0,0,0,0,0,0,0,30687.5776083907
"Roa_australis",11.8999996185303,3.15,97,205,"xlsx-depth-only+simulated",10,"harmless",0.879999995231628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59685.4737902582
"Roa_excelsa",15,3.09,20,291,"xlsx-depth-only+simulated",10,"harmless",0.850000023841858,2.50451993942261,NA,NA,NA,NA,2,"CIP+HAW",0,0,0,1,0,0,1,0,316165.781125082
"Roa_jayakari",16,3.87,33,280,"fishbase",10,"harmless",0.800000011920929,2.95983004570007,0,NA,NA,NA,2,"RED+WIO",0,1,1,0,0,0,0,0,1357824.7845883
"Roa_modesta",17,3.5,40,250,"fishbase",10,"harmless",0.759999990463257,2.45319008827209,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
