"species","body_size_cm","trophic_level","depth_min_m","depth_max_m","source","vulnerability","dangerous","growth_K","aspect_ratio","schooling","lat_north","lat_south","lat_range","n_regions","region_list","ATL","RED","WIO","CIP","NWP","CPA","HAW","TEP","range_area_km2"
"Amphichaetodon_howensis",18,2.76,10,150,"fishbase",11.96,"harmless",0.600000023841858,2.11967992782593,0,NA,NA,NA,1,"CPA",0,0,0,0,0,1,0,0,308753.835878349
"Amphichaetodon_melbae",14.5,3.62,10,13,"xlsx-depth-only+simulated",11.96,"harmless",0.600000023841858,2.5298900604248,NA,-25,-35,10,2,"ATL+TEP",1,0,0,0,0,0,0,1,74837.2466804919
"Chaetodon_adiergastos",20,3.5,1,30,"fishbase",10,"harmless",0.649999976158142,3.20333003997803,0,25,-15,40,2,"CIP+NWP",0,0,0,1,1,0,0,0,5784415.54350445
"Chaetodon_andamanensis",15,3.34,10,40,"fishbase",10,"harmless",0.850000023841858,2.511549949646,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1352644.36070468
"Chaetodon_argentatus",20,2,5,20,"fishbase",10,"harmless",0.649999976158142,2.82705998420715,0,NA,NA,NA,2,"CIP+NWP",0,0,0,1,1,0,0,0,1094683.3075519
"Chaetodon_assarius",13,2.65,1,40,"fishbase",10,"harmless",0.97000002861023,2.87667989730835,0,-20,-35,15,1,"CIP",0,0,0,1,0,0,0,0,379140.996862273
"Chaetodon_aureofasciatus",16,3.34,3,40,"fishbase",10,"harmless",0.800000011920929,2.40233993530273,0,0,-45,45,1,"CIP",0,0,0,1,0,0,0,0,1789811.90801232
"Chaetodon_auriga",25,3.51,0,60,"fishbase",23.31,"reports of ciguatera poisoning",0.8299999833107,2.61227989196777,0,30,-20,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23562036.0486257
"Chaetodon_auripes",20,3.5,1,30,"fishbase",10,"harmless",0.649999976158142,3.58357000350952,0,38,20,18,2,"CIP+NWP",0,0,0,1,1,0,0,0,1451213.32905284
"Chaetodon_austriacus",13,3.34,1,20,"fishbase",15.04,"harmless",0.899999976158142,2.54280996322632,0,30,10,20,1,"RED",0,1,0,0,0,0,0,0,758102.466923677
"Chaetodon_baronessa",16,3.34,5,20,"fishbase",13.76,"harmless",1,3.37211990356445,0,36,-26,62,2,"CIP+NWP",0,0,0,1,1,0,0,0,9790674.62362895
"Chaetodon_bennetti",20,3.06,0,50,"fishbase",10,"harmless",0.649999976158142,2.3818199634552,0,28,-28,56,3,"WIO+CIP+NWP",0,0,1,1,1,0,0,0,15272695.504062
"Chaetodon_blackburnii",13,2.73,5,30,"fishbase",10,"harmless",0.97000002861023,2.67968010902405,0,NA,NA,NA,1,"WIO",0,0,1,0,0,0,0,0,1098141.62080546
"Chaetodon_burgessi",14,3.5,20,130,"fishbase",10,"harmless",0.910000026226044,2.09048008918762,0,19,6,13,1,"CIP",0,0,0,1,0,0,0,0,4127936.22047757
"Chaetodon_capistratus",15,3.43,2,20,"fishbase",10,"reports of ciguatera poisoning",0.850000023841858,2.63554000854492,0,37,8,29,2,"ATL+TEP",1,0,0,0,0,0,0,1,3164498.22402408
"Chaetodon_citrinellus",13,2.98,1,36,"fishbase",10,"harmless",0.97000002861023,1.7948100566864,0,30,-32,62,4,"WIO+CIP+NWP+HAW",0,0,1,1,1,0,0,0,17548562.494564
"Chaetodon_collare",18,3.81,1,20,"fishbase",10,"harmless",0.72000002861023,2.76044011116028,0,NA,NA,NA,2,"WIO+CIP",0,0,1,1,0,0,0,0,4038789.53874667
"Chaetodon_daedalma",15,2.78,1,30,"fishbase",10,"harmless",0.850000023841858,2.58823990821838,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,623757.655005855
"Chaetodon_declivis",12,3.68,NA,NA,"missing+simulated",10,"harmless",1.04999995231628,1.52807998657227,NA,NA,NA,NA,1,"CPA",0,0,0,0,0,1,0,0,279705.973362523
"Chaetodon_decussatus",20,2.64,2,30,"fishbase",10,"harmless",0.649999976158142,2.75206995010376,0,NA,NA,NA,2,"WIO+CIP",0,0,1,1,0,0,0,0,3938844.76069456
"Chaetodon_dialeucos",18,3.61,NA,NA,"missing+simulated",10,"harmless",0.72000002861023,2.52885007858276,NA,NA,NA,NA,2,"RED+WIO",0,1,1,0,0,0,0,0,239447.193789203
"Chaetodon_dolosus",15,2.76,40,200,"fishbase",10,"harmless",0.850000023841858,1.94047999382019,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1334483.05706484
"Chaetodon_ephippium",30,3.01,1,40,"fishbase",20,"harmless",0.449999988079071,2.42555999755859,0,30,-30,60,3,"CIP+NWP+HAW",0,0,0,1,1,0,1,0,14946782.2911748
"Chaetodon_excelsa",23.3,3.19,NA,NA,"missing+simulated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaetodon_falcula",20,3.5,1,15,"fishbase",10,"harmless",0.649999976158142,2.88876008987427,0,25,-27,52,2,"WIO+CIP",0,0,1,1,0,0,0,0,3167746.4718252
"Chaetodon_fasciatus",22,3.34,2,25,"fishbase",14.44,"harmless",0.949999988079071,2.72337007522583,0,NA,NA,NA,1,"RED",0,1,0,0,0,0,0,0,640513.713490916
"Chaetodon_flavirostris",20,2.98,2,30,"fishbase",10,"harmless",0.649999976158142,2.79653000831604,0,0,-30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3806424.98233495
"Chaetodon_flavocoronatus",12,3.32,NA,NA,"missing+simulated",10,"harmless",1.04999995231628,1.74374997615814,NA,14,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96369.2260654295
