"species","body_size_cm","trophic_level","depth_min_m","depth_max_m","source"
"Chaetodon_ocellicaudus",15,3.34,3,50,"fishbase"
"Chaetodon_octofasciatus",12,2.64,3,20,"fishbase"
"Chaetodon_ornatissimus",20,3.34,1,36,"fishbase"
"Chaetodon_oxycephalus",25,3.48,10,40,"fishbase"
"Chaetodon_paucifasciatus",14,3.17,4,65,"fishbase"
"Chaetodon_pelewensis",12.5,2.92,1,30,"fishbase"
"Chaetodon_pictus",15.3999996185303,3.48,1,30,"xlsx-depth-only+simulated"
"Chaetodon_plebeius",15,3.34,5,15,"fishbase"
"Chaetodon_punctatofasciatus",12,2.92,1,45,"fishbase"
"Chaetodon_quadrimaculatus",16,3.55,2,43,"fishbase"
"Chaetodon_rafflesii",18,3.4,1,15,"fishbase"
"Chaetodon_rainfordi",15,2.77,1,15,"fishbase"
"Chaetodon_reticulatus",18,2.63,1,40,"fishbase"
"Chaetodon_robustus",14.5,3.53,40,50,"xlsx-depth-only+simulated"
"Chaetodon_sanctaehelenae",18,3.54,1,50,"xlsx-depth-only+simulated"
"Chaetodon_sedentarius",15,3.5,5,92,"fishbase"
"Chaetodon_selene",16,2.72,3,50,"fishbase"
"Chaetodon_semeion",26,2.73,1,50,"fishbase"
"Chaetodon_semilarvatus",23,3.5,3,20,"fishbase"
"Chaetodon_smithi",19,3.4,1,80,"fishbase"
"Chaetodon_speculum",18,3.34,3,30,"fishbase"
"Chaetodon_striatus",16,2.77,3,70,"fishbase"
"Chaetodon_tinkeri",15,3.41,27,180,"fishbase"
"Chaetodon_triangulum",16,3.34,1,25,"fishbase"
"Chaetodon_trichrous",12,3.05,1,25,"xlsx-depth-only+simulated"
"Chaetodon_tricinctus",15,3.76,3,15,"xlsx-depth-only+simulated"
"Chaetodon_trifascialis",18,3.34,1,30,"fishbase"
"Chaetodon_trifasciatus",15,3.34,1,30,"fishbase"
"Chaetodon_ulietensis",15,2.71,1,40,"fishbase"
"Chaetodon_unimaculatus",20,3.21,1,61,"fishbase"
"Chaetodon_vagabundus",23,3.36,1,30,"fishbase"
"Chaetodon_wiebeli",19,2.72,5,25,"fishbase"
"Chaetodon_xanthocephalus",20,2.7,1,30,"fishbase"
"Chaetodon_xanthurus",14,2.82,6,50,"fishbase"
"Chaetodon_zanzibarensis",12,3.34,3,40,"fishbase"
"Chaetodon_zanzibariensis",10.7,3.68,NA,NA,"missing+simulated"
"Chelmon_marginalis",18,3.57,1,30,"xlsx-depth-only+simulated"
"Chelmon_muelleri",20.5,3.5,1,10,"fishbase"
"Chelmon_rostratus",20,3.5,1,25,"fishbase"
"Chelmonops_curiosus",26,3.29,51,57,"fishbase"
"Chelmonops_truncatus",22,2.79,3,70,"fishbase"
"Coradion_altivelis",18,2.68,3,30,"fishbase"
"Coradion_chrysozonus",15,2.81,3,60,"fishbase"
"Coradion_melanopus",15,3.39,10,30,"xlsx-depth-only+simulated"
"Forcipiger_flavissimus",22,3.38000011444092,3,114,"fishbase"
"Forcipiger_longirostris",22,3.5,1,200,"fishbase"
"Forcipiger_wanai",17,3.34,NA,NA,"missing+simulated"
"Hemitaurichthys_multispinosus",20.7999992370605,3.4,5,45,"fishbase"
"Hemitaurichthys_polylepis",18,3.4,3,60,"fishbase"
"Hemitaurichthys_thompsoni",18,3.4,4,300,"fishbase"
"Hemitaurichthys_zoster",18,2.85,1,40,"fishbase"
"Heniochus_acuminatus",25,3.75,2,178,"fishbase"
"Heniochus_chrysostomus",18,3.34,2,60,"fishbase"
"Heniochus_diphreutes",21,3.3,5,210,"fishbase"
"Heniochus_intermedius",18,3.45,3,50,"fishbase"
"Heniochus_monoceros",24,3.5,2,30,"fishbase"
"Heniochus_pleurotaenia",17,3.5,1,25,"fishbase"
"Heniochus_singularius",30,3.55,2,250,"fishbase"
"Heniochus_varius",19,3.5,1,30,"fishbase"
"Johnrandallia_nigrirostris",20,2.97,6,40,"fishbase"
"Parachaetodon_ocellatus",18,2.76,5,40,"fishbase"
"Prognathodes_aculeatus",10,3.5,1,100,"fishbase"
"Prognathodes_aya",15,3.66,20,170,"xlsx-depth-only+simulated"
"Prognathodes_brasiliensis",15.2,3.34,20,150,"xlsx-depth-only+simulated"
"Prognathodes_carlhubbsi",12.1000003814697,2.87,10,35,"xlsx-depth-only+simulated"
"Prognathodes_dichrous",16,3.5,3,120,"fishbase"
"Prognathodes_falcifer",15,3.31,3,270,"fishbase"
"Prognathodes_guyanensis",13.6000003814697,2.85,60,230,"fishbase"
"Prognathodes_marcellae",11.6000003814697,3.49,12,140,"xlsx-depth-only+simulated"
"Prognathodes_obliquus",15,3.31,40,100,"xlsx-depth-only+simulated"
"Roa_australis",11.8999996185303,3.15,97,205,"xlsx-depth-only+simulated"
"Roa_excelsa",15,3.09,20,291,"xlsx-depth-only+simulated"
"Roa_jayakari",16,3.87,33,280,"fishbase"
"Roa_modesta",17,3.5,40,250,"fishbase"
