"species","body_size_cm","trophic_level","depth_min_m","depth_max_m","source"
"Amphichaetodon_howensis",18,2.76,10,150,"fishbase"
"Amphichaetodon_melbae",14.5,3.62,10,13,"xlsx-depth-only+simulated"
"Chaetodon_adiergastos",20,3.5,1,30,"fishbase"
"Chaetodon_andamanensis",15,3.34,10,40,"fishbase"
"Chaetodon_argentatus",20,2,5,20,"fishbase"
"Chaetodon_assarius",13,2.65,1,40,"fishbase"
"Chaetodon_aureofasciatus",16,3.34,3,40,"fishbase"
"Chaetodon_auriga",25,3.51,0,60,"fishbase"
"Chaetodon_auripes",20,3.5,1,30,"fishbase"
"Chaetodon_austriacus",13,3.34,1,20,"fishbase"
"Chaetodon_baronessa",16,3.34,5,20,"fishbase"
"Chaetodon_bennetti",20,3.06,0,50,"fishbase"
"Chaetodon_blackburnii",13,2.73,5,30,"fishbase"
"Chaetodon_burgessi",14,3.5,20,130,"fishbase"
"Chaetodon_capistratus",15,3.43,2,20,"fishbase"
"Chaetodon_citrinellus",13,2.98,1,36,"fishbase"
"Chaetodon_collare",18,3.81,1,20,"fishbase"
"Chaetodon_daedalma",15,2.78,1,30,"fishbase"
"Chaetodon_declivis",12,3.68,NA,NA,"missing+simulated"
"Chaetodon_decussatus",20,2.64,2,30,"fishbase"
"Chaetodon_dialeucos",18,3.61,NA,NA,"missing+simulated"
"Chaetodon_dolosus",15,2.76,40,200,"fishbase"
"Chaetodon_ephippium",30,3.01,1,40,"fishbase"
"Chaetodon_excelsa",23.3,3.19,NA,NA,"missing+simulated"
"Chaetodon_falcula",20,3.5,1,15,"fishbase"
"Chaetodon_fasciatus",22,3.34,2,25,"fishbase"
"Chaetodon_flavirostris",20,2.98,2,30,"fishbase"
"Chaetodon_flavocoronatus",12,3.32,NA,NA,"missing+simulated"
"Chaetodon_fremblii",13,2.96000003814697,5,65,"fishbase"
"Chaetodon_gardineri",17,3.59,2,91,"fishbase"
"Chaetodon_guentheri",18,2.82,2,25,"fishbase"
"Chaetodon_guttatissimus",12,3.07,3,30,"fishbase"
"Chaetodon_hoefleri",27,3.5,10,150,"fishbase"
"Chaetodon_humeralis",25.3999996185303,2.72,3,50,"fishbase"
"Chaetodon_interruptus",20,3.29,10,40,"xlsx-depth-only+simulated"
"Chaetodon_kleinii",15,3.18,1,90,"fishbase"
"Chaetodon_larvatus",12,3.38,3,12,"fishbase"
"Chaetodon_leucopleura",18,2.78,7,75,"fishbase"
"Chaetodon_lineolatus",30,3.39,2,171,"fishbase"
"Chaetodon_litus",15.5,3.54,1,25,"xlsx-depth-only+simulated"
"Chaetodon_lunula",20,2.99,1,170,"fishbase"
"Chaetodon_lunulatus",26.7000007629395,3.34,1,60,"fishbase"
"Chaetodon_madagaskariensis",13,2.76,10,120,"fishbase"
"Chaetodon_marleyi",20,2.68,20,120,"fishbase"
"Chaetodon_melannotus",25,3.47,2,20,"fishbase"
"Chaetodon_melapterus",13,3.34,3,20,"fishbase"
"Chaetodon_mertensii",12.5,2.95,10,120,"fishbase"
"Chaetodon_mesoleucos",13,3.65,5,20,"xlsx-depth-only+simulated"
"Chaetodon_meyeri",20,3.34,2,25,"fishbase"
"Chaetodon_miliaris",13,3.4,5,250,"fishbase"
"Chaetodon_mitratus",14,3.5,22,80,"fishbase"
"Chaetodon_modestus",8.3,3.09,NA,NA,"missing+simulated"
"Chaetodon_multicinctus",12,3,5,114,"fishbase"
"Chaetodon_nigropunctatus",14,3.93,3,15,"fishbase"
"Chaetodon_nippon",15,3.46,5,30,"fishbase"
"Chaetodon_ocellatus",20,3.5,1,30,"fishbase"
